Document,Primary Introducer,Status,Description,Document ID,Year
LB426,DeBoer,Referral,Provide for adoption by two adults,37037,2019
LB427,Howard,Passed,Change terminology relating to legitimacy of children,37036,2019
LB428,Friesen,Passed,Change provisions relating to computation of wages under the Employment Security Law ,37644,2019
LB429,Wayne,Referral,"Change tax provisions for cigars, cheroots, and stogies",36906,2019
LB430,Groene,Passed,Change dates related to certifications and distributions of state aid to schools,37596,2019
LB431,Groene,Referral,Change school finance base limitation and local effort rate provisions,37597,2019
LB432,Groene,Referral,Include tax-increment financing valuation in adjusted valuations for purposes of state aid to schools and change school district levy authority,36945,2019
LB433,"Hansen, M.",Passed,Change provisions relating to return of tenants' deposits and damages and the time period for a written notice to quit,37012,2019
LB434,"Hansen, M.",Indefinitely postponed,Change landlord and tenant provisions relating to three-day notice to quit and to create a right of redemption for tenants,37245,2019
LB435,"Hansen, M.",Referral,Change provisions relating to retaliatory conduct by a landlord,37465,2019
LB436,"Hansen, M.",Governor Veto,Create the Complete Count Committee,37619,2019
LB437,Linehan,Referral,Change application deadlines under the Nebraska Advantage Act,37770,2019
LB438,Wishart,Referral,Designate Nebraska State Patrol as agency to investigate criminal activity within Department of Correctional Services facilities and the Lincoln Regional Center,37318,2019
LB439,Crawford,Referral,Require coverage for chiropractic services under the Medical Assistance Act,37564,2019
LB440,Walz,Referral,Increase a tax on aviation jet fuel,37373,2019
LB441,McCollister,Referral,Change provisions relating to certain sales and use tax refund deductions and applicability to municipalities as prescribed,37762,2019
LB442,McCollister,Passed,Require insurance coverage for synchronizing prescription medications,37623,2019
LB443,McCollister,Passed,Require the Department of Correctional Services to allow committed offenders reasonable access to their attorneys,37748,2019
LB444,McDonnell,Referral,Provide a homestead exemption for certain dwelling complexes,37568,2019
LB445,McDonnell,Passed,Require cities and villages to provide annual reports relating to occupation taxes as prescribed,37593,2019
LB446,McDonnell,Referral,State intent relating to appropriations for the County Justice Reinvestment Grant Program,37262,2019
LB447,McDonnell,Passed,Exempt certain employees of the Nebraska State Historical Society from the State Personnel System and change election provisions for the board of trustees of the Nebraska State Historical Society,37382,2019
LB447A,McDonnell,Passed,Appropriation Bill,38798,2019
LB448,McDonnell,Select File,Change provisions relating to compensation for burial expenses under the Nebraska Workers' Compensation Act,37606,2019
LB449,Walz,Passed,Prohibit scleral tattooing,37381,2019
LB450,Wishart,Final Reading,"Change tuition assistance provisions for National Guard members, spouses, and children",37731,2019
LB450A,Wishart,Final Reading,Appropriation Bill,38196,2019
LB451,Halloran,Referral,Adopt the Faithful Delegate to Federal Article V Convention Act,37663,2019
LB452,Clements,Indefinitely postponed,Change boundaries of Nebraska planning and development regions and provide a procedure for a county to move to an adjacent region,37056,2019
LB453,Clements,Referral,Provide for hearings on credit union membership expansion applications,37275,2019
LB454,Clements,Passed,Change education requirements for issuance of a broker's or salesperson's license under the Nebraska Real Estate License Act,37057,2019
LB455,Arch,Referral,Change medical services payment provisions relating to jails,37199,2019
LB456,Lathrop,Referral,Provide a sales and use tax exemption for certain machinery and equipment used to produce electricity,37728,2019
LB457,Lathrop,General File,Define and redefine terms relating to industrial hemp under the Uniform Controlled Substances Act,37715,2019
LB458,Lathrop,Referral,Change provisions relating to child abuse or neglect,37395,2019
LB459,Health and Human Services Committee,Referral,Change criminal background check provisions under the Child Care Licensing Act,37442,2019
LB460,Health and Human Services Committee,Passed,Change provisions relating to transitional child care assistance and cash assistance and require background checks under the  Child Care Licensing Act and Children's Residential Facilities and Placing Licensure Act as prescribed,37089,2019
LB460A,Howard,Passed,Appropriation Bill,39658,2019
LB461,Friesen,Select File,"Eliminate certificates of public convenience and necessity and permits for movers of household goods and carriers of railroad employees, provide a licensing process for such regulated motor carriers, and exempt motor carriers engaged in transportation related to agritourism from certain requirements",37602,2019
LB462,Friesen,Passed,Change provisions of the One-Call Notification System Act and the Nebraska Telecommunications Regulation Act,37530,2019
LB463,Williams,Passed,Change provisions relating to treasurer's tax deeds and tax sale certificates,37490,2019
LB464,"Hansen, M.",Passed,Provide for payment of claims against the state,37390,2019
LB465,"Hansen, M.",Referral,Deny payment of claims against the state,37391,2019
LB466,Howard,Referral,Adopt the Redistricting Act,36809,2019
LB467,Vargas,Referral,Prohibit consideration of certain factors in redistricting,37755,2019
LB468,Walz,Passed,Prohibit inclusion of long-term services and supports under the medicaid managed care program and provide duties for the Department of Health and Human Services and the Department of Insurance,37291,2019
LB469,Lindstrom,Passed,Change provisions of the Surplus Lines Insurance Act and the Property and Casualty Insurance Rate and Form Act and eliminate provisions relating to employee benefit plans,37162,2019
LB470,La Grone,Governor Veto,Exempt dwelling complexes located on United States Department of Defense military installations from taxes as prescribed and authorize and provide tax deductions for contributions to the Nebraska educational savings plan trust by employers and persons other than participants as prescribed,36814,2019
LB470A,La Grone,Governor Veto,Appropriation Bill,40385,2019
LB471,La Grone,Referral,Provide a procedure for consolidation of related civil actions in multiple judicial districts,37455,2019
LB472,Dorn,Veto Overridden,"Adopt the Qualified Judgment Payment Act, authorize a sales and use tax, and require a property tax levy",37000,2019
LB473,Dorn,Referral,"Change revenue and taxation provisions relating to judgments against public corporations and political subdivisions, authorize certain loans, and provide powers and duties to the State Treasurer",37554,2019
LB474,Dorn,Referral,Change provisions relating to claims against the state for wrongful incarceration and conviction,37105,2019
LB475,Geist,Referral,"Create the offense of sexual extortion, redefine sexual exploitation, and provide for a registrable offense under the Sex Offender Registration Act",36965,2019
LB476,McCollister,Passed,Eliminate a sunset provision  relating to certain retail sales of natural gas by a metropolitan utilities district,37746,2019
LB477,Vargas,Final Reading,Provide an income tax exemption for Segal AmeriCorps Education Awards,37079,2019
LB477A,Vargas,Final Reading,Appropriation Bill,38689,2019
LB478,Vargas,Passed,Prohibit evidence of a minor's consent in any civil proceeding involving certain alleged sex offenses,37739,2019
LB479,Wishart,Indefinitely postponed,Prohibit sexual abuse of a detainee and change provisions relating to sexual abuse of an inmate or parolee,36994,2019
LB480,Quick,Referral,State intent relating to appropriations to local public health departments,37580,2019
LB481,Bolz,Passed,Adopt the Brain Injury Trust Fund Act and change provisions related to the Nebraska Health Care Cash Fund,37820,2019
LB481A,Stinner,Passed,Appropriation Bill,40263,2019
LB482,Erdman,Referral,Provide for an adjustment to the assessed value of destroyed real property,37749,2019
LB483,Erdman,General File,Change the valuation of agricultural land and horticultural land ,37598,2019
LB483A,Erdman,General File,Appropriation Bill,39038,2019
LB484,Lowe,Referral,Change provisions relating to assault on certain employees and officers,37147,2019
LB485,Lowe,Referral,State intent relating to an appropriation for the Youth Rehabilitation and Treatment Center-Kearney,37768,2019
LB486,Lowe,Passed,Adopt the Veteran and Active Duty Supportive Postsecondary Institution Act,37406,2019
LB487,La Grone,Referral,Require the Nebraska Workers' Compensation Court to adopt an evidence-based drug formulary,37713,2019
LB488,Howard,Referral,Adopt school district requirements for mental health education and change school district requirements for drug awareness and prevention,36939,2019
LB489,Howard,Referral,Require registration for the prescription drug monitoring system,37034,2019
LB490,Wayne,Referral,Consolidate offices of clerk of the district court and clerk magistrates,37599,2019
